Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.40121321,-47.38935035,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_123,10/10/2024,03/03/2025,870,3,0.73
-19.40121446,-47.38925519,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_124,10/10/2024,03/03/2025,870,3,0.8531531
-19.40121196,-47.38944551,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_125,10/10/2024,03/03/2025,870,3,0.87731034
-19.40148409,-47.38935431,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_126,10/10/2024,03/03/2025,870,3,0.8774233
-19.39956263,-47.38437705,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_127,10/10/2024,03/03/2025,870,3,0.8872544
-19.39678141,-47.38624101,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_128,10/10/2024,03/03/2025,870,3,0.915987
-19.3967431,-47.38632718,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_129,10/10/2024,03/03/2025,870,3,0.93494093
-19.39681972,-47.38615483,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_130,10/10/2024,03/03/2025,870,3,0.94117576
-19.40148284,-47.38944947,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_131,10/10/2024,03/03/2025,870,3,0.94570446
-19.39669964,-47.38620063,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_132,10/10/2024,03/03/2025,870,3,0.9581049
-19.4013035,-47.38935167,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_133,10/10/2024,03/03/2025,870,3,0.9649492
-19.39661786,-47.38616026,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_134,10/10/2024,03/03/2025,870,3,0.9687799
-19.40148159,-47.38954463,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_135,10/10/2024,03/03/2025,870,3,0.9823324
-19.40130225,-47.38944683,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_136,10/10/2024,03/03/2025,870,3,0.9852882
-19.40112292,-47.38934903,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_137,10/10/2024,03/03/2025,870,3,0.99756455
-19.39709819,-47.38597703,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_138,10/10/2024,03/03/2025,870,3,0.9983219
