Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.39966069,-47.39066015,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8622,10/10/2024,03/03/2025,870,3,3.836697
-19.39992155,-47.39142538,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8623,10/10/2024,03/03/2025,870,3,3.836837
-19.40234676,-47.38555978,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8624,10/10/2024,03/03/2025,870,3,3.8369787
-19.3970861,-47.394144,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8625,10/10/2024,03/03/2025,870,3,3.8369963
-19.40382047,-47.39024505,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8626,10/10/2024,03/03/2025,870,3,3.8370788
-19.3984781,-47.3913091,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8627,10/10/2024,03/03/2025,870,3,3.8372512
-19.40356836,-47.38881369,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8628,10/10/2024,03/03/2025,870,3,3.8374846
-19.4034643,-47.38985913,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8629,10/10/2024,03/03/2025,870,3,3.8374877
-19.39795512,-47.38987382,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8630,10/10/2024,03/03/2025,870,3,3.837679
-19.40173969,-47.38364736,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8631,10/10/2024,03/03/2025,870,3,3.837709
-19.40292003,-47.39004154,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8632,10/10/2024,03/03/2025,870,3,3.8379107
-19.40028398,-47.3913355,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8633,10/10/2024,03/03/2025,870,3,3.8380694
-19.40390826,-47.3904367,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8634,10/10/2024,03/03/2025,870,3,3.8382561
-19.39454522,-47.38820606,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8635,10/10/2024,03/03/2025,870,3,3.838684
-19.39975474,-47.39037599,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8636,10/10/2024,03/03/2025,870,3,3.8387458
-19.39547711,-47.3928832,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8637,10/10/2024,03/03/2025,870,3,3.8389506
-19.40190551,-47.39164474,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8638,10/10/2024,03/03/2025,870,3,3.8390868
-19.40320969,-47.38861809,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8639,10/10/2024,03/03/2025,870,3,3.8391273
-19.40366491,-47.3883392,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8640,10/10/2024,03/03/2025,870,3,3.8391895
-19.40043309,-47.38686435,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8641,10/10/2024,03/03/2025,870,3,3.8392124
-19.39567148,-47.39183912,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8642,10/10/2024,03/03/2025,870,3,3.8392463
-19.40348182,-47.38852688,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8643,10/10/2024,03/03/2025,870,3,3.8392787
-19.40462935,-47.39054242,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8644,10/10/2024,03/03/2025,870,3,3.839889
-19.40255385,-47.3904169,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8645,10/10/2024,03/03/2025,870,3,3.839948
-19.39757767,-47.39110559,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8646,10/10/2024,03/03/2025,870,3,3.8400068
-19.40347056,-47.38938333,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8647,10/10/2024,03/03/2025,870,3,3.8400693
-19.40178125,-47.38735991,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8648,10/10/2024,03/03/2025,870,3,3.8401186
-19.39731255,-47.38482177,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8649,10/10/2024,03/03/2025,870,3,3.8402188
-19.40315458,-47.39280515,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8650,10/10/2024,03/03/2025,870,3,3.840297
-19.40072167,-47.39238884,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8651,10/10/2024,03/03/2025,870,3,3.840343
