id_ponto,Data,Cliente,Fazenda,Talhão,Gleba,Lat,Long,Profundidade,Ponto,pH H2O,pH CaCl,pH SMP,P meh,P res,P total,Na,K,S,Ca,Mg,Al,H + Al,MO,CO,B,Cu,Fe,Mn,Zn,SB,t,T,V %,m %,Ca/Mg,Ca/K,Mg/K,(Ca+Mg)/K,Ca/t,Mg/t,Ca/T,Mg/T,K/T,(H+Al)/T,(Ca+Mg)/T,(Ca+Mg+K)/T,Argila,Silte,Areia Total,Areia Grossa,Areia Fina,Cascalho
0,05/05/2025,glauber,ribeirao,pivo,gener,-19.4009306850444,-47.39441170100959,,,6.4345026,5.737597,,,71.118996,,,44.481716,3.6229255,3.2710106,1.0643042,0.0,2.2583663,2.9491217,,0.5481174,0.61953443,27.935028,6.7102137,2.4659739,4.447055,,6.705421,66.25236,0.0,3.084233,44.338978,,,,,,,,,,,50.350903,28.058851,,,,
1,05/05/2025,glauber,ribeirao,pivo,gener,-19.400043975761715,-47.39446417426024,,,6.4171553,5.744935,,,55.766277,,,55.046238,3.305376,3.0235832,1.0288341,0.0,2.2488751,2.8393168,,0.560753,0.6310051,27.56342,6.7319865,2.483407,4.191154,,6.440029,65.04588,0.0,2.9488263,27.879982,,,,,,,,,,,49.018036,28.818138,,,,
2,05/05/2025,glauber,ribeirao,pivo,gener,-19.399141039793157,-47.394450957440625,,,6.4016447,5.7355523,,,70.435936,,,53.565002,3.3763595,3.0390403,1.0575117,0.0,2.2602084,2.810558,,0.5887631,0.6586423,27.031698,6.8279047,2.535661,4.2317004,,6.491909,65.18747,0.0,2.887235,26.290289,,,,,,,,,,,49.57409,28.334341,,,,
3,05/05/2025,glauber,ribeirao,pivo,gener,-19.398238103726328,-47.39443774135829,,,6.403136,5.7163343,,,96.345604,,,47.4094,3.5409606,3.0994143,1.0953423,0.0,2.2613742,2.738476,,0.63213384,0.6957562,26.279863,6.767847,2.5488014,4.313961,,6.575335,65.6437,0.0,2.8408144,27.826715,,,,,,,,,,,50.35613,27.423204,,,,
4,05/05/2025,glauber,ribeirao,pivo,gener,-19.397348092096493,-47.39438283168513,,,6.3296833,5.6744523,,,73.05739,,,48.680614,4.5093646,3.1437054,1.0919721,0.0,2.3783042,3.1530395,,0.67179024,0.72450155,25.59941,6.539676,2.5039613,4.358876,,6.7371807,64.75684,0.0,2.901179,28.568684,,,,,,,,,,,50.3582,28.160362,,,,
5,05/05/2025,glauber,ribeirao,pivo,gener,-19.40276532397596,-47.39355223020685,,,6.3534465,5.6695747,,,69.64496,,,60.296608,5.7943063,3.2510865,1.0812913,0.0030067535,2.4611151,3.0524552,,0.5337173,0.6144755,29.107418,6.914431,2.5132625,4.4854164,,6.949538,64.559395,0.03998982,3.030254,31.645973,,,,,,,,,,,52.81334,26.044952,,,,
6,05/05/2025,glauber,ribeirao,pivo,gener,-19.40186238767312,-47.3935390164164,,,6.4460835,5.716662,,,76.83991,,,38.684704,4.1472464,3.436934,1.0810425,0.0016538842,2.2967303,3.0493107,,0.5323374,0.60269713,28.524475,6.592984,2.4130979,4.6149707,,6.913355,66.7501,0.02199666,3.1880445,56.674007,,,,,,,,,,,51.56471,27.252502,,,,
7,05/05/2025,glauber,ribeirao,pivo,gener,-19.40095945127202,-47.393525803363,,,6.523862,5.7609434,,,82.308426,,,23.267578,2.8042266,3.617898,1.0989012,0.0,2.1457727,3.0759876,,0.5318537,0.5922829,27.942804,6.2835,2.3180003,4.773823,,6.9195952,68.956375,0.0,3.2923114,77.09189,,,,,,,,,,,50.589184,28.223215,,,,
8,05/05/2025,glauber,ribeirao,pivo,gener,-19.400056514772658,-47.39351259104663,,,6.4206424,5.754006,,,47.58982,,,57.545135,3.1629086,2.9623418,1.0158411,0.0,2.238049,2.8159094,,0.5419369,0.6003535,27.549475,6.2859225,2.326752,4.1231685,,6.3612175,64.80335,0.0,2.9212637,24.643763,,,,,,,,,,,48.43568,29.253109,,,,
9,05/05/2025,glauber,ribeirao,pivo,gener,-19.399153578175042,-47.39349937946727,,,6.381366,5.7391987,,,67.878746,,,53.48694,3.2290087,3.0200117,1.0521541,0.0,2.2305977,2.7851746,,0.5769935,0.63967997,27.040195,6.606045,2.452029,4.2074513,,6.438049,65.36706,0.0,2.887278,25.66249,,,,,,,,,,,49.644394,28.446587,,,,
