id_ponto,Data,Cliente,Fazenda,Talhão,Gleba,Lat,Long,Kg/Ha
0,05/05/2025,glauber,ribeirao,pivo,gener,-19.4009306850444,-47.39441170100959,3.1640675
1,05/05/2025,glauber,ribeirao,pivo,gener,-19.400043975761715,-47.39446417426024,2.6348782
2,05/05/2025,glauber,ribeirao,pivo,gener,-19.399141039793157,-47.394450957440625,2.0792935
3,05/05/2025,glauber,ribeirao,pivo,gener,-19.398238103726328,-47.39443774135829,2.872466
4,05/05/2025,glauber,ribeirao,pivo,gener,-19.397348092096493,-47.39438283168513,3.0930517
5,05/05/2025,glauber,ribeirao,pivo,gener,-19.40276532397596,-47.39355223020685,3.0301511
6,05/05/2025,glauber,ribeirao,pivo,gener,-19.40186238767312,-47.3935390164164,3.0628035
7,05/05/2025,glauber,ribeirao,pivo,gener,-19.40095945127202,-47.393525803363,3.2569535
8,05/05/2025,glauber,ribeirao,pivo,gener,-19.400056514772658,-47.39351259104663,3.0994294
9,05/05/2025,glauber,ribeirao,pivo,gener,-19.399153578175042,-47.39349937946727,3.011792
10,05/05/2025,glauber,ribeirao,pivo,gener,-19.398250641479173,-47.39348616862491,2.8187664
11,05/05/2025,glauber,ribeirao,pivo,gener,-19.39734770468505,-47.39347295851952,3.0301397
12,05/05/2025,glauber,ribeirao,pivo,gener,-19.39644476779269,-47.39345974915109,3.4881063
13,05/05/2025,glauber,ribeirao,pivo,gener,-19.39562099983883,-47.3933703964871,3.2215917
14,05/05/2025,glauber,ribeirao,pivo,gener,-19.40366713339628,-47.39260303251703,3.5392234
15,05/05/2025,glauber,ribeirao,pivo,gener,-19.402777859899857,-47.39260063053363,3.1448274
16,05/05/2025,glauber,ribeirao,pivo,gener,-19.401874922968194,-47.39258742198433,3.478217
17,05/05/2025,glauber,ribeirao,pivo,gener,-19.400971985938273,-47.392574214171795,3.362817
18,05/05/2025,glauber,ribeirao,pivo,gener,-19.4000690488101,-47.392561007096,3.2022283
19,05/05/2025,glauber,ribeirao,pivo,gener,-19.399166111583682,-47.39254780075692,3.101358
20,05/05/2025,glauber,ribeirao,pivo,gener,-19.398263174259014,-47.392534595154544,2.89357
21,05/05/2025,glauber,ribeirao,pivo,gener,-19.3973602368361,-47.392521390288856,3.2169304
22,05/05/2025,glauber,ribeirao,pivo,gener,-19.396457299314957,-47.39250818615984,3.5862956
23,05/05/2025,glauber,ribeirao,pivo,gener,-19.395554361695577,-47.39249498276745,3.219054
24,05/05/2025,glauber,ribeirao,pivo,gener,-19.403693328311473,-47.39166223416823,3.447942
25,05/05/2025,glauber,ribeirao,pivo,gener,-19.402790390849493,-47.391649030123624,3.0243995
26,05/05/2025,glauber,ribeirao,pivo,gener,-19.401887453289255,-47.39163582681551,3.3864522
27,05/05/2025,glauber,ribeirao,pivo,gener,-19.40098451563077,-47.39162262424385,3.2209282
